,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2013,36.63,,,,,,,,,,,
2014,27.607066418752858,19.18,,,,,,,,,,
2015,21.238860146267633,14.206213491210718,9.44,,,,,,,,,
2016,17.538123026341946,11.786573793345333,8.263678119672257,7.1,,,,,,,,
2017,20.417886236030427,16.674844921546317,15.851550191119612,19.19683720636214,32.66,,,,,,,
2018,16.72082303574318,13.101612260787343,11.63108593002866,12.371153223521002,15.103232795608324,-0.13,,,,,,
2019,19.665387206760123,17.05023701304014,16.62887345524129,18.498698327257724,22.56174887457263,17.804648465160323,38.96,,,,,
2020,22.92929112245268,21.087570119582267,21.40845377631311,23.954842207297734,28.567738081728567,27.231898270145273,43.60728950857613,48.41,,,,
2021,23.420339129036073,21.86158396127911,22.249561467759893,24.525754220717232,28.337366368800577,27.27889765388052,37.99505495323772,37.51509808017446,27.42,,,
2022,16.1788134601907,14.104451781026018,13.485399201719739,14.075393664487844,15.281351791574771,12.088968831103575,15.370514625704889,8.433423910206628,-7.314206050765248,-32.58,,
2023,19.254152695432715,17.643044555946076,17.473499933108606,18.51829251624002,20.245966311377583,18.292970421478906,22.366831522088248,18.537889945192433,9.982064571777038,2.1795537277394805,54.86,
2024,19.768908509184712,18.34336447817373,18.260024630402217,19.282895870953908,20.900128371172077,19.307495471116255,22.896592676430515,19.91398880270019,13.689804753928115,9.450099473452966,39.453643910799265,25.58
