,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2013,33.45,,,,,,,,,,,
2014,22.555283443840146,12.55,,,,,,,,,,
2015,14.659024716155077,6.280374481839313,0.36,,,,,,,,,
2016,14.196477102127524,8.41700749267602,6.4077779112034605,12.82,,,,,,,,
2017,15.565939786548189,11.482750390179252,11.12925419795243,16.939780228970847,21.21,,,,,,,
2018,11.807265571220693,7.919597235321496,6.792073749535454,9.02643438194306,7.17775748726972,-5.23,,,,,,
2019,14.325284982693564,11.415661994518377,11.19016999184601,14.075617832544541,14.497254856580888,11.28160629681798,30.67,,,,,
2020,15.148572292772133,12.747553280714596,12.780512523388431,15.443303549946584,16.108605427520217,14.456306728930901,25.7836380456536,21.08,,,,
2021,16.273735685342917,14.288361592494025,14.538881147925764,17.089598581323905,17.962715501858618,17.16457972001477,25.74908253815382,23.358560302882903,25.679999999999996,,,
2022,12.073325836335759,9.92038091393903,9.59602818326719,10.983096725205922,10.679867145443932,8.686265064055764,12.473603815561685,6.9897527820863115,0.5719961022947917,-19.52,,
2023,13.277149959100676,11.43578768660658,11.312669212604032,12.763251472969394,12.755146871038182,11.404490208789042,15.066541160794245,11.465983041369299,8.43404608601681,0.7199285146688217,26.05,
2024,14.119562449106837,12.507650183989249,12.503416078923202,13.94030631323897,14.081124551374803,13.097532074209184,16.479680162465215,13.832172667381503,12.08904741372061,7.893557685668529,24.924979487690923,23.81
