timestamp,open,high,low,close,volume,num_trades
2024-12-17 14:33:00,49.9,49.9,49.8999,49.8999,263,10
2024-12-17 14:34:00,49.9,49.9084,49.9,49.9084,225,11
2024-12-17 14:38:00,49.63,49.63,49.6289,49.6289,262,9
2024-12-17 14:43:00,49.9789,49.9789,49.9789,49.9789,117,6
2024-12-17 14:46:00,49.97,49.97,49.97,49.97,413,9
2024-12-17 14:53:00,49.97,49.97,49.97,49.97,470,10
2024-12-17 14:54:00,49.9729,49.9729,49.9729,49.9729,431,8
2024-12-17 14:55:00,49.9797,49.9797,49.9797,49.9797,290,9
2024-12-17 14:59:00,49.983,49.983,49.983,49.983,136,4
2024-12-17 15:00:00,49.98,49.98,49.92,49.92,780,13
2024-12-17 15:02:00,49.8516,49.8516,49.8516,49.8516,101,2
2024-12-17 15:12:00,49.8,49.8,49.8,49.8,192,21
2024-12-17 15:13:00,49.69,49.69,49.69,49.69,161,7
2024-12-17 15:15:00,49.64,49.64,49.63,49.63,326,13
2024-12-17 15:19:00,49.4911,49.4911,49.49,49.49,317,7
2024-12-17 15:20:00,49.35,49.37,49.3239,49.37,453,5
2024-12-17 15:23:00,49.3964,49.3964,49.3964,49.3964,237,6
2024-12-17 15:28:00,49.495,49.495,49.495,49.495,145,4
2024-12-17 15:34:00,49.5685,49.5685,49.5685,49.5685,100,1
2024-12-17 15:35:00,49.54,49.54,49.54,49.54,110,2
2024-12-17 15:37:00,49.5176,49.5176,49.5176,49.5176,110,2
2024-12-17 15:47:00,49.605,49.605,49.605,49.605,1020,4
2024-12-17 15:50:00,49.69,49.69,49.6899,49.6899,2000,4
2024-12-17 15:54:00,49.6778,49.6778,49.6778,49.6778,101,2
2024-12-17 16:03:00,49.7392,49.7392,49.6819,49.7088,2311,8
2024-12-17 16:06:00,49.65,49.65,49.65,49.65,224,7
2024-12-17 16:12:00,49.77,49.77,49.77,49.77,101,2
2024-12-17 16:19:00,49.7,49.7,49.7,49.7,300,3
2024-12-17 16:32:00,49.69,49.69,49.69,49.69,211,2
2024-12-17 16:36:00,49.84,49.84,49.84,49.84,102,2
