,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2013,32.31,,,,,,,,,,,
2014,22.52302885580326,13.459999999999999,,,,,,,,,,
2015,14.96921388636232,7.170685357517437,1.23,,,,,,,,,
2016,14.219611079038685,8.756864839207324,6.478918101190345,12.0,,,,,,,,
2017,15.679870593314437,11.85980947788563,11.33144364663654,16.75410057038682,21.71,,,,,,,
2018,12.028619010040064,8.361808609275068,7.1234648976870485,9.163236426942657,7.771913316967716,-4.57,,,,,,
2019,14.587998196031226,11.8742687774406,11.559791993041335,14.302916182369806,15.081029900882204,11.903192983935895,31.22,,,,,
2020,15.049198918790063,12.774490763571599,12.660642571946612,15.097216645968793,15.88481213349555,14.005710956280826,24.608437114025318,18.33,,,,
2021,16.494493034158552,14.655392799543865,14.827188236333754,17.26470427981941,18.34697746245151,17.52084291379552,25.967416503232176,23.420504374273253,28.73,,,
2022,12.45034797264266,10.436546853471175,10.064324750338628,11.387798781852387,11.286091079545525,9.310986382614672,13.085920011252039,7.616295043862498,2.6288877460922455,-18.18,,
2023,13.634174144285915,11.918167100902433,11.748150927867474,13.137540741005882,13.300986984983698,11.9570890960222,15.59124278176176,11.984046885560273,9.945279878666513,1.6073206024054265,26.179999999999996,
2024,14.532089891520595,13.039524835143744,12.997563118014877,14.386751536323716,14.688649728283853,13.719225589796258,17.09150510677766,14.453864089368329,13.504834104961017,8.841007847602755,25.533342981058226,24.89
